cbsa_title,price_band,month_date,states,avg_median_sale_price,active_listings,homes_sold,median_days_on_market,hotness_score,demand_score,supply_score,absorption_rate,months_of_supply,absorption_12mo_avg,absorption_24mo_avg,absorption_velocity,time_series_model,forecast_avg_absorption_24mo,forecast_last_absorption_24mo,forecast_change_from_current,history_months,forecast_absorption_score,current_absorption_score,rolling_absorption_score,velocity_score,supply_pressure_score,demand_score_scaled,hotness_score_scaled,price_fit_score,market_priority_score,rank,rank_percentile,market_tier,forecast_avg_absorption_24mo_raw,oa2_forecast_absorption_score,oa2_current_absorption_score,oa2_rolling_absorption_score,oa2_velocity_score,absorption_velocity_dimension,months_supply_score,days_on_market_score,inventory_depth_score,supply_pipeline_pressure_dimension,demand_signal_score,hotness_signal_score,sales_volume_score,demand_tailwind_dimension,ami_affordability_fit_dimension,employment_dimension,migration_dimension,geographic_priority_score,geo_rank,geo_rank_percentile,geo_market_tier,recommended_action,cluster_id,cluster_name,alternate_priority_score,alternate_rank
"Cape Coral-Fort Myers, FL",$200K-$300K,2021-03-01,fl,299535.311111,3242.6666666666665,698.3165333333333,18.983333266666666,62.25247524752476,74.19554455445545,50.309405940594054,21.535254934210528,4.6435484653186885,10.224815486357848,7.565282133150653,2.6595333532071948,"SARIMA(1,1,1)(1,0,1,12)",100.0,1229.6264942098608,78.46474506578947,44,2.7646861762192906e-42,0.5003330456666213,0.350936922421232,0.9331265445905421,0.9957088912943419,0.7750484809308341,0.6667822468793345,0.009293777779999624,0.470216555296608,10,0.031446540880503145,Tier 1,330.3292340044854,1.0,0.5003330456666213,0.350936922421232,0.9331265445905421,0.7352396275894831,0.9957088912943419,0.9315396285721599,0.26795986007318007,0.830908306233455,0.7750484809308341,0.6667822468793345,1.0,0.7821456028266425,0.009293777779999624,0.5,0.5,0.6172314379940064,1,0.0031446540880503146,Tier 1,Prioritize for first marketing efforts,3,High priority launch markets,0.5857175794357308,10
"Starkville, MS",$200K-$300K,2026-02-01,ms,234000.0,7.0,3.0,14.0,39.851485148514854,39.6039603960396,40.099009900990104,42.857142857142854,2.3333333333333335,24.413561933391634,42.44930566235898,-18.035743728967347,"ARIMA(1,1,1)",44.166958169130645,44.15898149119948,1.3098153119877907,92,3.696547750726571e-43,1.0,0.8734670184051863,0.0,1.0,0.41370394311570785,0.4157420249653261,0.6799999999999999,0.5063904470723487,4,0.012578616352201259,Tier 1,44.166958169130645,0.44166958169130643,1.0,0.8734670184051863,0.0,0.6013612363575598,1.0,0.9509421412363236,0.0003205220258370622,0.7853467467760645,0.41370394311570785,0.4157420249653261,0.002868137932194925,0.3322501107263716,0.6799999999999999,0.5,0.5,0.5943832986893145,2,0.006289308176100629,Tier 1,Prioritize for first marketing efforts,3,High priority launch markets,0.6075145123923618,4
"Columbus, MS",$200K-$300K,2026-02-01,ms,266000.0,3.125,1.0,34.0,50.21658415841584,33.353960396039604,67.07920792079209,32.0,3.125,27.84942985149742,28.518781873252827,-0.6693520217554081,Regression Trend,23.67800330678784,22.104787920186343,-8.32199669321216,70,1.9817273702715062e-43,0.7455687074334414,1.0,0.7830308829116575,0.9985295188840733,0.3484162895927603,0.5319001386962554,0.6799999999999999,0.5852629547711203,2,0.006289308176100629,Tier 1,23.67800330678784,0.2367800330678784,0.7455687074334414,1.0,0.7830308829116575,0.5985588225222603,0.9985295188840733,0.873072524151123,0.0,0.7611865166873735,0.3484162895927603,0.5319001386962554,0.0,0.3429523788604315,0.6799999999999999,0.5,0.5,0.5901757480493305,3,0.009433962264150943,Tier 1,Prioritize for first marketing efforts,3,High priority launch markets,0.6023791916314731,5
"Abilene, TX",$200K-$300K,2026-03-01,tx,248656.66666666666,338.0,40.361111111111114,34.40277777777778,68.13118811881188,65.96534653465346,70.29702970297029,11.941157133464825,8.374397797660013,8.806138454225435,6.9244625188202855,1.8816759354051493,"SARIMA(1,1,1)(1,0,1,12)",12.828378103023203,13.121893470529349,0.8872209695583777,69,1.073669416866111e-43,0.27550053341430625,0.2986911903167335,0.8980538368623169,0.9887790258338253,0.689075630252101,0.7326629680998614,0.9731333333333332,0.4510539930349781,13,0.040880503144654086,Tier 1,12.828378103023203,0.12828378103023202,0.27550053341430625,0.2986911903167335,0.8980538368623169,0.3146349593583636,0.9887790258338253,0.8715043165848239,0.027699306684435147,0.7613806692292467,0.689075630252101,0.7326629680998614,0.05644654791555846,0.5778053820315086,0.9731333333333332,0.5,0.5,0.5700391769260028,4,0.012578616352201259,Tier 1,Prioritize for first marketing efforts,2,Strong absorption / selective expansion,0.6253013811182955,1
"Charleston-North Charleston, SC",$200K-$300K,2021-07-01,sc,297562.329861,909.0,93.16658333333334,43.333333333333336,83.94183168316832,71.8440594059406,96.03960396039604,10.249349101576824,9.756717134809602,8.727665230995331,7.2278752654579295,1.4997899655374018,"SARIMA(1,1,1)(1,0,1,12)",100.0,2.3641451561549235e+45,89.75065089842317,48,1.0,0.2358539238051714,0.295801250671983,0.8808350321043351,0.9862114370151404,0.7504848093083389,0.909847434119279,0.048753402779999844,0.6497735219488301,1,0.0031446540880503146,Tier 1,1.1948163840288403e+44,1.0,0.2358539238051714,0.295801250671983,0.8808350321043351,0.6502489859013397,0.9862114370151404,0.8367333695113628,0.0749297781045545,0.7591116849818899,0.7504848093083389,0.909847434119279,0.13217323686956894,0.6825994135044139,0.048753402779999844,0.5,0.5,0.564112404504509,5,0.015723270440251572,Tier 1,Prioritize for first marketing efforts,3,High priority launch markets,0.5394807603024695,23
"Wichita, KS",$200K-$300K,2026-03-01,ks,252694.90740740742,1713.2222222222222,176.22222222222223,41.291666666666664,63.0259900990099,71.36963696369638,54.68234323432343,10.28601076593813,9.721941992433795,8.61800368977121,9.016208305791574,-0.3982046160203634,"SARIMA(1,1,1)(1,0,1,12)",10.356202983663593,11.213032423499053,0.07019221772546302,70,8.6676104563809e-44,0.23671307015461376,0.2917627363553383,0.7952566115541679,0.986276030097457,0.7455289808230987,0.6754507628294039,0.9461018518518517,0.43088110990199685,16,0.050314465408805034,Tier 1,10.356202983663593,0.10356202983663593,0.23671307015461376,0.2917627363553383,0.7952566115541679,0.27824411847750063,0.986276030097457,0.8446825595888103,0.14145130994709662,0.7748330449147909,0.7455289808230987,0.6754507628294039,0.2512807510595221,0.6221519585725902,0.9461018518518517,0.5,0.5,0.5625901220137497,6,0.018867924528301886,Tier 1,Prioritize for first marketing efforts,2,Strong absorption / selective expansion,0.6208124550043317,2
"Huntington-Ashland, WV-KY-OH",$200K-$300K,2026-03-01,"ky, wv",248231.93055555556,140.77777777777777,9.194444444444445,62.47222222222223,72.52475247524752,94.05940594059405,50.99009900990099,6.531176006314128,15.311178247734137,7.282386486606128,7.800524403818863,-0.5181379172127354,"SARIMA(1,1,1)(1,0,1,12)",7.758940278730958,7.535096462998843,1.22776427241683,104,6.493834853995168e-44,0.1487205408275763,0.24257585519054234,0.7898489551851036,0.9758943041616185,0.9825468648998061,0.7819001386962554,0.9646386111111113,0.4286838771835602,17,0.05345911949685535,Tier 1,7.758940278730958,0.07758940278730958,0.1487205408275763,0.24257585519054234,0.7898489551851036,0.2352084106376919,0.9758943041616185,0.7622164720506639,0.011385999276240585,0.7188892935512565,0.9825468648998061,0.7819001386962554,0.01175139847218754,0.7181614174430396,0.9646386111111113,0.5,0.5,0.5535208067165661,7,0.0220125786163522,Tier 1,Prioritize for first marketing efforts,2,Strong absorption / selective expansion,0.6141763608859152,3
"Owensboro, KY",$200K-$300K,2026-03-01,ky,245704.16666666666,227.55555555555554,22.47222222222222,34.43055555555556,65.40841584158416,54.88861386138614,75.92821782178217,9.87548828125,10.126081582200246,11.148748942106286,10.449410437710494,0.6993385043957918,Regression Trend,10.88053332225243,11.050375168555412,1.0050450410024308,55,9.106448043141161e-44,0.22709269693293146,0.38496269341638184,0.8447435846169821,0.9855253610848886,0.5733678086619265,0.7021497919556174,0.9140833333333331,0.431467964732939,15,0.04716981132075472,Tier 1,10.88053332225243,0.10880533322252431,0.22709269693293146,0.38496269341638184,0.8447435846169821,0.30399938389806624,0.9855253610848886,0.8713961643388721,0.01856385453584619,0.7578943007512752,0.5733678086619265,0.7021497919556174,0.03079264752203718,0.5099264705867405,0.9140833333333331,0.5,0.5,0.5465801151025892,8,0.025157232704402517,Tier 1,Prioritize for first marketing efforts,2,Strong absorption / selective expansion,0.5997790584170131,6
"Blacksburg-Christiansburg-Radford, VA",$200K-$300K,2026-03-01,va,254323.61111111112,100.11111111111111,8.25,58.81944444444444,65.16089108910892,81.12623762376238,49.195544554455445,8.240843507214207,12.134680134680135,7.379465423499769,8.2148924755276,-0.8354270520278311,"SARIMA(1,1,1)(1,0,1,12)",8.265405285123583,8.302019470481548,0.024561777909376303,104,6.917720074488093e-44,0.1887856774695673,0.2461509889349091,0.7755427483713204,0.9817944900437525,0.847446670976083,0.6993758668515953,0.9135277777777775,0.4196117010807203,19,0.059748427672955975,Tier 1,8.265405285123583,0.08265405285123582,0.1887856774695673,0.2461509889349091,0.7755427483713204,0.24581965055056604,0.9817944900437525,0.7764384923933082,0.008022241241649481,0.7254332409881987,0.847446670976083,0.6993758668515953,0.010397000004206604,0.6282119553381369,0.9135277777777775,0.5,0.5,0.5373844858577249,9,0.02830188679245283,Tier 1,Prioritize for first marketing efforts,2,Strong absorption / selective expansion,0.5947505717409671,8
"Ottawa, KS",$200K-$300K,2026-03-01,ks,245804.86111111112,59.333333333333336,5.138888888888889,44.625,59.80816831683168,67.63613861386139,51.98019801980198,8.661048689138577,11.545945945945945,8.778579566172128,9.891473701357638,-1.1128941351855097,"SARIMA(1,1,1)(1,0,1,12)",8.819333245619267,8.853422310950814,0.15828455648069095,55,7.381329351947008e-44,0.19863295948353152,0.2976762769504639,0.7630320726496821,0.9828880342629114,0.7065287653522949,0.6393897364771154,0.9160972222222225,0.41357938540936,25,0.07861635220125786,Tier 1,8.819333245619267,0.08819333245619268,0.19863295948353152,0.2976762769504639,0.7630320726496821,0.25892563914090505,0.9828880342629114,0.8317042900746102,0.00464929261133545,0.7418851626761059,0.7065287653522949,0.6393897364771154,0.005935452109681165,0.5429114425974593,0.9160972222222225,0.5,0.5,0.5328523059574901,10,0.031446540880503145,Tier 1,Prioritize for first marketing efforts,2,Strong absorption / selective expansion,0.5898588612883161,9
