cbsa_title,price_band,month_date,states,avg_median_sale_price,active_listings,homes_sold,median_days_on_market,hotness_score,demand_score,supply_score,absorption_rate,months_of_supply
"Hot Springs, AR",$200K-$300K,2026-03-01,ar,246885.41666666666,907.1111111111111,36.333333333333336,107.66666666666667,32.271039603960396,38.056930693069305,26.48514851485149,4.005389514943655,24.966360856269112
"Shelby-Kings Mountain, NC",$200K-$300K,2026-03-01,nc,258083.33333333334,483.44444444444446,19.333333333333332,100.875,35.210396039603964,35.334158415841586,35.086633663366335,3.999080671110089,25.005747126436784
"Rockingham, NC",$200K-$300K,2026-03-01,nc,204061.11111111112,120.22222222222223,4.805555555555555,96.88888888888889,47.246287128712865,72.15346534653465,22.33910891089109,3.997227356746765,25.01734104046243
"Texarkana, TX-AR",$200K-$300K,2026-03-01,"ar, tx",221030.55555555556,535.4444444444445,21.38888888888889,96.5,18.67264851485149,24.78341584158416,12.56188118811881,3.9946046897696617,25.033766233766233
"Ozark, AL",$200K-$300K,2026-03-01,al,213986.11111111112,156.55555555555554,6.194444444444445,70.625,48.82425742574257,33.353960396039604,64.29455445544554,3.9567068843151176,25.273542600896857
"Jacksonville, TX",$200K-$300K,2026-03-01,tx,260888.88888888888,172.77777777777777,6.833333333333333,95.26388888888889,29.64108910891089,38.73762376237624,20.544554455445542,3.9549839228295824,25.284552845528456
"Gaffney, SC",$200K-$300K,2026-03-01,sc,248902.77777777778,184.77777777777777,7.277777777777778,68.55555555555556,29.61014851485149,27.784653465346537,31.435643564356436,3.9386650631389055,25.389312977099237
"Tahlequah, OK",$200K-$300K,2026-03-01,ok,217861.11111111112,157.0,6.138888888888889,44.638888888888886,34.77722772277228,17.574257425742573,51.98019801980198,3.9101203113941967,25.57466063348416
"Murray, KY",$200K-$300K,2026-03-01,ky,282027.77777777775,113.0,4.416666666666667,82.48611111111111,33.323019801980195,60.3960396039604,6.25,3.908554572271387,25.584905660377355
"Union City, TN",$200K-$300K,2026-03-01,tn,211031.94444444444,95.44444444444444,3.7222222222222223,119.25,35.519801980198025,43.193069306930695,27.846534653465348,3.8998835855646106,25.641791044776117
"Fort Payne, AL",$200K-$300K,2026-03-01,al,215283.19444444444,245.88888888888889,9.527777777777779,102.55555555555556,22.308168316831683,34.3440594059406,10.272277227722771,3.8748305467690924,25.80758017492711
"Corinth, MS",$200K-$300K,2026-03-01,ms,256613.88888888888,69.55555555555556,2.6666666666666665,66.72222222222223,35.61262376237624,61.26237623762376,9.962871287128714,3.8338658146964857,26.083333333333336
"Rio Grande City-Roma, TX",$200K-$300K,2026-03-01,tx,273051.984375,94.0,3.58325,258.23958325,10.36509900990099,1.1138613861386135,19.61633663366337,3.8119680851063835,26.23316821321426
"Somerset, KY",$200K-$300K,2026-03-01,ky,266380.55555555556,357.1111111111111,13.555555555555555,115.58333333333333,24.288366336633665,27.475247524752476,21.10148514851485,3.7958929682638463,26.344262295081965
"Paris, TN",$200K-$300K,2026-03-01,tn,275847.22222222225,136.0,5.055555555555555,125.98611111111111,25.340346534653463,41.95544554455445,8.725247524752474,3.7173202614379086,26.9010989010989
"Pikeville, KY",$200K-$300K,2026-03-01,ky,280927.9513888055,164.22222222222223,6.097138888888889,117.70572914583333,27.0884900990099,48.70049504950495,5.476485148514852,3.7127368064952635,26.934308897160328
"Thomaston, GA",$200K-$300K,2026-03-01,ga,245411.11111111112,118.44444444444444,4.305555555555555,103.95833333333333,15.129950495049505,6.25,24.00990099009901,3.6350844277673544,27.50967741935484
"Waycross, GA",$200K-$300K,2026-03-01,ga,253611.11111111112,123.66666666666667,4.472222222222222,93.08333333333333,20.63737623762376,18.564356435643564,22.71039603960396,3.6163522012578615,27.65217391304348
"Huntsville, TX",$200K-$300K,2026-03-01,tx,282517.5,282.1111111111111,10.13888888888889,121.79166666666667,18.688118811881186,2.599009900990099,34.777227722772274,3.5939346199291067,27.824657534246573
"Palestine, TX",$200K-$300K,2026-03-01,tx,240452.77777777778,202.66666666666666,7.277777777777778,83.47222222222223,29.795792079207924,46.72029702970298,12.871287128712872,3.5910087719298245,27.84732824427481
"Albertville, AL",$200K-$300K,2026-03-01,al,253431.91666666666,531.4444444444445,19.0,65.55555555555556,9.344059405940596,8.415841584158416,10.272277227722771,3.5751620321973654,27.970760233918128
"Brenham, TX",$200K-$300K,2026-03-01,tx,273922.06944444444,165.55555555555554,5.916666666666667,128.11111111111111,28.52722772277227,13.11881188118812,43.93564356435643,3.573825503355705,27.981220657276992
"Milledgeville, GA",$200K-$300K,2026-03-01,ga,224488.88888888888,170.88888888888889,6.0,57.02777777777778,17.07920792079208,4.826732673267327,29.33168316831683,3.5110533159947983,28.48148148148148
"Bonham, TX",$200K-$300K,2026-03-01,tx,269621.3888888889,230.77777777777777,8.0,111.83333333333333,15.872524752475249,11.076732673267326,20.668316831683168,3.466538276360135,28.84722222222222
"Dallas-Fort Worth-Arlington, TX",$200K-$300K,2026-03-01,tx,283275.7638888889,877.5555555555555,30.27777777777778,90.47222222222223,31.992574257425744,19.61633663366337,44.36881188118812,3.450240567232211,28.98348623853211
"Corsicana, TX",$200K-$300K,2026-03-01,tx,255482.63888888888,226.55555555555554,7.75,116.45833333333333,22.803217821782177,21.905940594059405,23.700495049504948,3.4207945071113293,29.232974910394265
"Austin-Round Rock-San Marcos, TX",$200K-$300K,2026-03-01,tx,278833.68055555556,279.44444444444446,9.527777777777779,110.48611111111111,10.024752475247524,5.754950495049505,14.294554455445544,3.4095427435387675,29.32944606413994
"Kinston, NC",$200K-$300K,2026-03-01,nc,201325.0,209.88888888888889,7.138888888888889,78.0,33.508663366336634,31.93069306930693,35.086633663366335,3.4012705134992065,29.40077821011673
"McAlester, OK",$200K-$300K,2026-03-01,ok,256505.55555555556,236.22222222222223,7.944444444444445,82.20833333333333,16.646039603960396,7.920792079207921,25.371287128712872,3.363123236124177,29.734265734265733
"Corbin, KY",$200K-$300K,2026-03-01,ky,208019.44444444444,210.55555555555554,7.027777777777778,144.13888888888889,36.04579207920792,50.309405940594054,21.782178217821784,3.3377308707124014,29.960474308300395
"Ardmore, OK",$200K-$300K,2026-03-01,ok,211930.55555555556,297.22222222222223,9.88888888888889,85.70833333333333,22.957920792079207,20.544554455445542,25.371287128712872,3.327102803738318,30.0561797752809
"Houston-Pasadena-The Woodlands, TX",$200K-$300K,2026-03-01,tx,284739.97222222225,763.5555555555555,25.055555555555557,147.43055555555554,12.004950495049505,0.0,24.00990099009901,3.281431897555297,30.47450110864745
"Lawrenceburg, TN",$200K-$300K,2026-03-01,tn,297597.22222222225,229.77777777777777,7.527777777777778,176.63888888888889,20.45173267326733,12.004950495049505,28.898514851485142,3.276112185686654,30.523985239852397
"Laredo, TX",$200K-$300K,2026-03-01,tx,253427.77777777778,646.4444444444445,21.083333333333332,104.91666666666667,31.868811881188115,21.967821782178216,41.76980198019802,3.2614300446888964,30.661396574440055
"Scottsboro, AL",$200K-$300K,2026-03-01,al,296694.44444444444,180.77777777777777,5.888888888888889,80.58333333333333,29.95049504950495,32.7970297029703,27.103960396039607,3.257529194837124,30.698113207547166
"Sebring, FL",$200K-$300K,2026-03-01,fl,272330.55555555556,1010.5555555555555,32.638888888888886,90.18055555555556,28.74381188118812,24.69059405940594,32.7970297029703,3.2297965915338094,30.961702127659578
"Brownsville-Harlingen, TX",$200K-$300K,2026-03-01,tx,266405.44444444444,1600.3333333333333,51.30555555555556,87.875,18.069306930693067,12.438118811881187,23.700495049504948,3.2059293202804975,31.192203573362207
"Russellville, AL",$200K-$300K,2026-03-01,al,231406.94444444444,70.22222222222223,2.1944444444444446,144.15277777777777,24.16460396039604,20.853960396039604,27.475247524752476,3.125,32.0
"Clewiston, FL",$200K-$300K,2026-03-01,fl,285094.3333333333,272.55555555555554,8.472222222222221,107.01388888888889,12.530940594059407,3.2797029702970297,21.782178217821784,3.1084386465552383,32.17049180327869
"Mountain Home, AR",$200K-$300K,2026-03-01,ar,281047.1388888889,292.77777777777777,9.027777777777779,158.75,32.7970297029703,56.49752475247525,9.096534653465346,3.0834914611005697,32.43076923076923
"Vicksburg, MS",$200K-$300K,2026-03-01,ms,237148.1157406667,134.22222222222223,4.064777777777778,126.64814811111111,34.870049504950494,56.43564356435643,13.304455445544557,3.0283940397350992,33.02080201186344
"Corpus Christi, TX",$200K-$300K,2026-03-01,tx,265095.5486111111,2719.222222222222,81.61111111111111,79.60416666666666,18.301361386138613,10.922029702970297,25.68069306930693,3.0012667020798434,33.31926480599047
"Forest City, NC",$200K-$300K,2026-03-01,nc,286722.22222222225,356.55555555555554,10.694444444444445,123.5,32.17821782178218,50.495049504950494,13.861386138613865,2.999376752882518,33.34025974025974
"Marion, NC",$200K-$300K,2026-03-01,nc,290555.55555555556,219.0,6.555555555555555,134.08333333333334,31.961633663366335,46.9059405940594,17.01732673267327,2.993404363267377,33.40677966101695
"Orangeburg, SC",$200K-$300K,2026-03-01,sc,235885.69444444444,337.55555555555554,10.027777777777779,106.01388888888889,18.62623762376238,20.23514851485149,17.01732673267327,2.970704410796577,33.66204986149584
"McPherson, KS",$200K-$300K,2026-03-01,ks,233776.041666625,54.55555555555556,1.6145,50.692708249999995,59.3440594059406,74.31930693069307,44.36881188118812,2.959368635437882,33.79099136299508
"Branson, MO",$200K-$300K,2026-03-01,mo,299943.05555555556,676.8888888888889,20.0,101.59722222222223,15.56311881188119,16.831683168316832,14.294554455445544,2.954694681549573,33.84444444444445
"Palatka, FL",$200K-$300K,2026-03-01,fl,245985.63888888888,321.6666666666667,9.5,76.73611111111111,26.14480198019802,43.99752475247525,8.292079207920793,2.9533678756476682,33.85964912280702
"McAllen-Edinburg-Mission, TX",$200K-$300K,2026-03-01,tx,249615.27777777778,3425.222222222222,97.66666666666667,93.68055555555556,15.47029702970297,1.608910891089109,29.33168316831683,2.8513965030654944,35.070534698521044
"Sulphur Springs, TX",$200K-$300K,2026-03-01,tx,240670.81944444444,188.77777777777777,5.027777777777778,95.22222222222223,32.70420792079208,31.621287128712872,33.78712871287129,2.6633313713949383,37.54696132596685
"Laurinburg, NC",$200K-$300K,2026-03-01,nc,203939.72222222222,102.44444444444444,2.6666666666666665,123.34722222222223,35.55074257425743,58.601485148514854,12.5,2.6030368763557483,38.41666666666667
"Gainesville, TX",$200K-$300K,2026-03-01,tx,285499.30555555556,271.44444444444446,7.027777777777778,140.22222222222223,27.629950495049503,21.472772277227723,33.78712871287129,2.589029881293491,38.62450592885376
"Athens, TX",$200K-$300K,2026-03-01,tx,262355.55555555556,648.2222222222222,16.47222222222222,104.83333333333333,28.310643564356436,20.42079207920792,36.20049504950495,2.5411381556393557,39.35244519392917
"Del Rio, TX",$200K-$300K,2026-03-01,tx,252795.83333333334,233.22222222222223,5.583333333333333,87.0,13.923267326732674,4.579207920792079,23.26732673267327,2.39399714149595,41.77114427860697
"Bay City, TX",$200K-$300K,2026-03-01,tx,214164.72222222222,284.3333333333333,6.722222222222222,128.41666666666666,21.132425742574256,0.495049504950495,41.76980198019802,2.3642047674873,42.29752066115702
"Bluefield, WV-VA",$200K-$300K,2026-03-01,va,226783.33333333334,124.33333333333333,2.888888888888889,80.77777777777777,51.60891089108911,67.01732673267327,36.20049504950495,2.323503127792672,43.03846153846154
"Dodge City, KS",$200K-$300K,2026-03-01,ks,252787.16666666666,114.33333333333333,2.638888888888889,108.22222222222223,4.393564356435644,2.0420792079207923,6.7450495049504955,2.308066083576288,43.32631578947368
"Vidalia, GA",$200K-$300K,2026-03-01,ga,247527.77777766666,53.77777777777778,1.111,162.19444433333334,15.84158415841584,7.797029702970297,23.886138613861384,2.065909090909091,48.40484048404841
"Lake City, FL",$200K-$300K,2026-03-01,fl,290708.3333333333,235.33333333333334,4.861111111111111,175.16666666666666,31.49752475247525,46.65841584158416,16.33663366336634,2.0656279508970727,48.41142857142858
"Picayune, MS",$200K-$300K,2026-03-01,ms,258733.33333333334,235.0,4.305555555555555,54.236111111111114,48.97896039603961,51.98019801980198,45.97772277227723,1.8321513002364065,54.58064516129033
"Eagle Pass, TX",$200K-$300K,2026-03-01,tx,278316.6666666667,206.55555555555554,3.611111111111111,160.13888888888889,2.753712871287129,0.2475247524752475,5.25990099009901,1.7482517482517483,57.199999999999996
"Lufkin, TX",$200K-$300K,2026-03-01,tx,260030.27777777778,309.22222222222223,3.25,176.77777777777777,24.659653465346533,31.86881188118812,17.450495049504948,1.0510240747394897,95.14529914529915
"Big Spring, TX",$200K-$300K,2026-03-01,tx,216390.0,163.22222222222223,1.0,1.4,21.287128712871286,10.396039603960396,32.17821782178218,0.6126616746085772,163.22222222222223
"Odessa, TX",$200K-$300K,2026-03-01,tx,300000.0,481.0,1.0,32.0,55.7240099009901,23.9480198019802,87.5,0.2079002079002079,481.0
"Midland, TX",$200K-$300K,2026-03-01,tx,278891.6666666667,766.0,1.4166666666666667,175.04166666666666,68.31683168316832,55.754950495049506,80.87871287128714,0.18494342906875547,540.7058823529411
